id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
-KduD3wwydWDq2GrODh2tw,Richard,643,"2011-07-03 00:00:00",27,23,20,24,3.3,17,1,2,0,0,7,28,11,11,18,0
-khrbWmeaZDZ6hzTgJ4HpQ,Dan,617,"2007-09-16 00:00:00",11,8,4,29,4.04,5,4,0,0,0,10,17,30,30,20,2
-LEJFq5RC0rQAG831uYRKg,Marisa,65,"2009-07-09 00:00:00",1,1,1,1,3.6,3,2,0,0,0,1,0,5,5,3,1
-lg4J2SOILBJOxqH4S0x4g,Robert,105,"2012-01-10 00:00:00",16,3,3,4,4.61,0,0,0,0,0,0,1,0,0,0,0
-M1Nv9UYmgFEcJhJxQr8CQ,Ralph,148,"2011-11-29 00:00:00",51,17,15,14,4.01,6,1,0,0,0,6,10,11,11,10,5
-M6KuotrnLBTX426Hjie6w,Elviera,20,"2013-04-17 00:00:00",0,0,0,1,4.35,0,1,0,0,0,0,0,0,0,0,0
-MAlrTw5nZSnjh8Hz1T7Ww,Derek,23,"2013-04-25 00:00:00",0,0,0,1,3.91,0,0,0,0,0,0,0,0,0,0,0
-MVzfNZ136z0Fw6_7qH9jw,Melissa,81,"2010-05-01 00:00:00",36,0,0,0,3.77,0,0,0,0,0,2,2,1,1,1,0
-Ng6kNjzZee-hT-RZYg_Eg,L,139,"2010-12-28 00:00:00",22,15,1,4,2.85,1,2,0,1,0,4,5,0,0,0,2
-njC3scq41FLpi89cuy5yQ,Mike,51,"2009-09-17 00:00:00",3,1,0,2,3.82,0,1,0,0,0,0,1,2,2,0,0
-NnBFf5fosrLMeqkEwVLHg,Junk,276,"2008-06-01 00:00:00",17,34,16,12,3.27,2,5,2,0,0,5,5,15,15,14,2
-oHBgKNC6xGHIGdoZW3ReQ,Chelsea,51,"2008-09-06 00:00:00",115,37,13,4,3.85,3,0,0,0,0,3,5,5,5,3,0
-ouzfV5nm0Fmv3JRLXegmQ,Jamie,75,"2012-05-21 00:00:00",2,2,1,3,2.91,0,0,0,0,0,1,3,0,0,2,2
-Ox7QPz0G56GOzT0ex-f5Q,John,148,"2008-05-01 00:00:00",77,49,31,6,4,12,3,3,0,2,3,9,16,16,28,0
-p0kcbSqIWK7E8KlCKUziA,Jason,31,"2011-09-11 00:00:00",20,1,1,0,3.79,0,0,0,0,0,0,0,0,0,0,0
-p3hXGTfQr5KOvVBcJXq8w,Suhan,78,"2015-08-26 00:00:00",1,1,2,4,3.75,1,0,0,0,0,1,0,1,1,2,0
-P6fwogYd_HGkKKeVjBXhA,Nick,47,"2009-08-26 00:00:00",0,2,0,7,3.62,46,8,0,2,1,41,33,153,153,2,26
-pGWmTHl5s3Ymc9X-vfdvA,Regis,59,"2013-01-27 00:00:00",2,1,0,0,2.42,0,0,0,0,0,0,2,1,1,0,0
-pX51O5uj7jU4ZWWRIct7w,Terence,38,"2012-07-21 00:00:00",55,11,36,2,3.53,0,1,0,0,0,1,2,4,4,0,0
-QawrtMSjKxYbUBidxStog,Adventure,24,"2015-04-02 00:00:00",0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0
-QmmHtp57b3zT79APvRONA,Jonathan,34,"2011-12-18 00:00:00",0,0,1,2,4.2,1,1,1,0,0,0,3,1,1,3,0
-R-Z97qJK3E1S8lQSda8Gg,Melissa,70,"2010-03-03 00:00:00",7,0,0,2,4.44,0,0,0,0,0,0,1,0,0,0,0
-rHPIHFPIaKxYYxqTsGcbQ,Keewi,73,"2006-03-31 00:00:00",196,31,84,9,4.36,12,4,0,2,0,10,8,15,15,2,1
-RqsNY3wSqoGqdmmYtu4Aw,Marjorie,41,"2013-05-13 00:00:00",10,0,4,1,4.21,0,0,0,0,0,1,0,0,0,0,0
-sFdV5hTNg8Qx-sbqAB2yg,Briana,65,"2011-04-04 00:00:00",30,2,0,6,3.9,3,0,0,1,0,10,4,4,4,0,0
-Sk0YyBRfFNphzx5xebsPA,Tal,47,"2015-10-05 00:00:00",0,0,0,2,4.25,0,0,0,0,0,0,0,0,0,0,0
-SQeeulHTG1KxM1LbE_Fqw,Melody,51,"2011-07-18 00:00:00",12,4,6,0,3.44,0,0,0,0,0,0,0,0,0,1,0
-sSAFo8QebOhsruMPQZpHw,Jamie,395,"2009-01-05 00:00:00",33,3,1,23,3.95,7,9,0,1,0,7,10,10,10,3,4
-szffXRDPunwOj4oJsLP8w,Ashley,35,"2013-09-21 00:00:00",79,1,0,1,4.25,1,0,0,0,0,0,2,0,0,0,1
-TMDrC66dvClx5Z7Hdzrfw,Connie,42,"2011-07-12 00:00:00",10,1,9,0,2.52,0,1,0,0,0,0,0,0,0,0,0
-tnerbV2xEK_Jpx5BbDYdw,Thomas,57,"2011-10-16 00:00:00",1,0,0,1,4.34,0,0,0,0,0,0,1,0,0,1,0
-TQ1X1s0WsXAvzwxgEsbFA,Matthew,21,"2013-04-16 00:00:00",0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0
-tQ3UVVdNBZBR_HOVFROzw,Lynnette,293,"2012-02-07 00:00:00",123,12,15,11,3.73,1,3,1,0,0,7,8,17,17,4,3
-uglef88WEwkI6UlAqwO0Q,Jason,1037,"2008-10-07 00:00:00",8010,769,759,44,4.13,35,12,4,1,1,41,44,65,65,54,7
-Uq9OETxC4G_KdAK2ZcZ0A,Sara,216,"2008-07-20 00:00:00",33,10,9,14,3.4,20,3,2,4,0,7,8,9,9,8,1
-URAJU5BQAM2F1_SNna81g,Corey,38,"2012-04-13 00:00:00",26,18,13,0,3.86,1,1,0,0,0,2,0,2,2,2,0
-vBbg7fTK3y8W0PtpzlLWQ,Nick,796,"2008-04-27 00:00:00",268,732,82,33,3.49,37,12,7,12,5,33,40,67,67,64,9
-viG5Qri2Fgf9_4Fgv4KhQ,Chad,58,"2011-06-30 00:00:00",16,4,2,0,4.1,0,0,0,0,0,1,2,0,0,0,0
-VNWe5on26Wpp_fS_BoFyw,Andrew,28,"2008-11-26 00:00:00",0,0,0,0,3.72,0,1,0,0,0,1,0,2,2,0,0
-wB0tT8bWSnbMRnEleyPGA,Meg,56,"2013-05-19 00:00:00",29,11,7,1,4.12,0,0,0,0,0,0,1,1,1,1,0
-WYbVngIGDQ81MY12UtwnA,Rhea,419,"2010-09-04 00:00:00",3830,3714,4250,95,3.9,1191,67,101,18,6,298,1192,1305,1305,474,458
-x0T4V03VKVc0qJRbK6xjQ,Mieszko,21,"2016-05-17 00:00:00",2,2,4,0,4.76,0,0,0,0,0,0,4,0,0,2,0
-X8saOIinN36j-Z5_s767Q,Jon,256,"2010-04-12 00:00:00",179,114,124,20,3.32,53,9,6,1,3,38,105,109,109,39,1
-x9B0q0_qkP08_muhsmrpA,Soo,103,"2009-06-22 00:00:00",20,2,0,3,4.15,1,0,0,0,0,1,0,0,0,1,0
-xDW3gYiYaoeVASXywTPgw,Ash,256,"2009-09-29 00:00:00",2259,2195,2184,233,3.71,63,17,8,8,1,43,85,148,148,101,52
-xKA7InbSLt5jSuHVjXC7Q,Olivia,309,"2013-03-16 00:00:00",162,74,38,34,3.72,28,5,1,8,0,16,28,43,43,19,9
-y8mv6-8C-IJWsy00EWAfA,Jehanne,130,"2013-04-23 00:00:00",5,0,0,4,3.29,13,0,1,0,0,2,3,18,18,13,1
-zq5x_Dxub8k0YOWvqn2Rg,Christopher,28,"2015-11-13 00:00:00",115,50,71,3,3.64,1,1,0,0,0,0,1,5,5,3,5
-ZqPTpx9TyyvdAWbajdilA,Jessica,917,"2013-04-05 00:00:00",156,12,22,55,3.51,7,10,0,0,0,12,19,18,18,38,14
-ZYXVfcQGjenYuxHIwSt8Q,Matthew,21,"2012-06-20 00:00:00",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
-zZmsrUOVLPpWEB2qzQecQ,Samantha,24,"2015-09-17 00:00:00",1,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
-_-yAmYXeZiHGC4ZM8CnDA,Jerry,23,"2014-09-17 00:00:00",16,8,2,0,3.61,0,0,0,0,0,0,0,1,1,0,0
-_DNG_lnypujZN9TAXNdWg,Say,67,"2013-02-09 00:00:00",0,0,0,0,3.68,0,0,0,0,0,1,1,0,0,0,0
0-vUegMnrs39WXdNIdPnKg,Brian,22,"2009-08-02 00:00:00",6,10,3,1,3.83,0,0,0,0,0,1,0,0,0,0,0
02RZ3ETfZBbVpC77UmnADg,Tara,64,"2011-09-29 00:00:00",26,5,6,5,3.81,3,0,0,0,0,0,5,4,4,0,1
02YdTEWFTFr6p71AZJVQ0Q,Stacy,310,"2007-02-25 00:00:00",10,40,2,23,3.5,31,3,2,3,0,16,23,34,34,32,21
0302bhMBlvoMVc2Dfwintg,Kris,46,"2009-12-23 00:00:00",5,4,2,0,4.36,0,0,0,0,0,6,0,0,0,0,0
032ACFSVzplC_IFRLejmqg,Anna,30,"2007-01-20 00:00:00",0,2,0,2,3.84,0,1,0,0,0,2,0,0,0,0,0
03C6zQSWpXTOilMFW1V3Xw,M,133,"2011-11-16 00:00:00",39,4,0,2,2.58,0,0,0,0,0,1,1,0,0,0,0
045lA8joqI1vPm0wLgZPKw,Lori,313,"2009-01-05 00:00:00",1618,1101,1332,21,3.58,45,4,2,4,3,19,30,67,67,11,2
06aMrFaASesnDtiMLsBz3w,Michelle,34,"2011-04-02 00:00:00",1,2,0,0,3.08,0,0,0,0,0,0,2,0,0,0,0
06EHITIMi4KEpcAt7GUHxQ,Steve,27,"2013-04-25 00:00:00",0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
06gL9VaAyAl6WoYVu_nPuA,Alie,683,"2009-01-22 00:00:00",0,2,3,49,3.7,51,7,5,12,0,35,32,42,42,20,4
06hNNsVZO78El38qNJaETA,Ben,59,"2011-11-06 00:00:00",13,8,1,6,4.67,17,2,0,1,0,8,7,7,7,4,5
07YwgODlk64EPZ9if3d7Cw,Gabriel,308,"2014-06-10 00:00:00",473,55,46,16,3.77,14,3,0,2,0,3,5,18,18,6,8
08JfqZfqfYKI-y_JOHVjCQ,Brian,100,"2011-11-11 00:00:00",0,0,0,3,4.04,0,0,0,0,0,1,5,2,2,1,2
08mOpJRCpZe3D8UHszP4FA,Ann,3031,"2006-01-25 00:00:00",179,14,12,379,3.35,380,69,30,36,64,322,461,650,650,211,245
0aFDZXy0vwnRSt1DmCjVeQ,Rob,73,"2010-06-01 00:00:00",470,45,46,4,3.6,1,2,1,0,0,4,0,4,4,2,2
0aJVOEwpT4MP19Pci7_rtg,Bobby,296,"2008-09-21 00:00:00",44,19,3,11,3.7,1,4,1,0,0,8,6,10,10,7,2
0AlnetQ_-a4f7kY0Sker2w,Susan,584,"2009-03-10 00:00:00",188,172,181,105,3.77,635,39,39,50,13,88,384,418,418,266,101
0AnezUtzwmaeAYSMvDdLmg,Steven,40,"2009-12-26 00:00:00",1,0,0,0,3.78,0,0,0,0,0,3,1,0,0,4,0
0APbvG3N3jyN325yQyoTOg,Jeffrey,290,"2009-08-27 00:00:00",84,51,47,25,3.91,2,5,2,0,1,5,9,10,10,9,2
0ArXqBvIcYnyPo86jLY3Nw,Susan,277,"2009-02-25 00:00:00",52,38,22,25,3.59,72,1,0,7,3,21,81,124,124,23,9
0BJ9l0E7MhJJBGx6Dcaq-w,Matthew,31,"2010-02-04 00:00:00",6,5,0,0,4.78,0,0,0,0,0,1,0,0,0,0,0
0caEeLnTD7qENhy4wmUFXg,Stephanie,90,"2008-08-04 00:00:00",62,63,18,7,4.1,23,2,0,1,5,11,17,31,31,7,1
0CdbxIiIqMt4v3xOaLcM1g,Jon,67,"2012-03-29 00:00:00",0,0,1,2,4.13,0,0,0,0,0,0,2,1,1,0,0
0cfpgpRmB-n2Rhz-3MPEMg,Tony,137,"2009-07-29 00:00:00",120,57,50,6,3.9,3,2,0,1,0,6,16,14,14,11,1
0cHEkFahUqJiobK3vo8BbA,Andy,336,"2013-05-14 00:00:00",1973,100,909,25,3.59,34,2,0,0,0,20,90,50,50,18,42
0cldOdxTVOXkJZzCyZy7vw,Monique,24,"2011-07-28 00:00:00",16,3,1,0,3.6,1,0,0,0,0,1,1,4,4,0,0
0cX0WaamLFB0oAV0-V0Thg,Katherine,84,"2011-04-03 00:00:00",23,10,34,3,4.01,3,1,0,1,0,5,4,1,1,1,2
0cyp4yH4XUkOKcQuP3_G7A,Rain,711,"2009-06-19 00:00:00",1796,1466,1353,80,3.7,571,61,66,44,25,471,969,749,749,356,166
0d7gFJUi4cV3I7j1dHn9fQ,"Jaswant A.",570,"2011-11-14 00:00:00",237,215,29,14,3.83,3,2,0,0,0,17,14,7,7,7,7
0dDxCWIhO-rX9AYzTy6dYw,Bob,20,"2010-08-14 00:00:00",4,1,0,0,3.05,0,0,0,0,0,0,1,1,1,0,0
0dhxd1e1Cnywc-On6y2Xfw,Ken,99,"2006-08-31 00:00:00",31,24,53,5,3.46,0,0,0,0,0,0,0,4,4,1,1
0EFYgOrxPiWkr5TPmMvqnA,Harry,85,"2011-03-26 00:00:00",3,0,1,1,3.91,0,0,0,0,0,1,0,0,0,0,0
0EjWviHaYwdaMaD8VBOHWA,Casey,84,"2012-06-29 00:00:00",20,2,1,2,4.3,1,0,2,0,0,0,2,2,2,1,0
0FYxFVmGR-179ZhtIg5pAA,Van,154,"2008-03-14 00:00:00",63,61,62,55,3.85,125,15,6,11,1,46,95,129,129,35,16
0f_0XfO2qcgNwSJAHwfR9g,James,1087,"2010-12-10 00:00:00",158,98,124,114,3.72,88,7,9,10,13,47,118,108,108,56,19
0G43iKmKRMdGWcmvfSH7sw,Donna,316,"2009-03-25 00:00:00",88,30,44,24,3.79,16,3,1,1,1,8,27,14,14,16,2
0gZ8E5tBWTEtGEZDuTzhzw,"Cindy Feng Xin",140,"2016-06-24 00:00:00",1,0,0,5,3.95,1,0,0,0,0,2,0,5,5,1,5
0H-zIyvxf94D11173f63xg,Benjamin,45,"2015-07-05 00:00:00",34,2,13,3,3.91,0,0,0,0,0,0,0,0,0,1,0
0H50qxdwgVYNROTBA3OQLw,Taleen,316,"2011-03-23 00:00:00",169,150,129,28,4.7,14,2,1,2,1,10,15,6,6,7,5
0htztt-r6_vSjrSPFqwVgg,Alexis,38,"2012-02-18 00:00:00",1,0,0,0,4.1,0,0,0,0,0,0,0,0,0,1,0
0HuYmSeNfDwBJGHmTJa8rg,Taeler,56,"2014-10-14 00:00:00",1,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0
0iG_uwGjGzHrXV9FoxLCNg,Mironda,316,"2010-07-23 00:00:00",134,29,14,16,3.76,4,3,4,0,1,11,30,25,25,9,7
0IRknXzXd5fjwIm-w_dnLw,Bonnie,130,"2010-06-05 00:00:00",5,0,1,5,4.03,0,2,0,0,0,0,3,1,1,0,0
0iUT1InWtbdf_h6dXjipnQ,Peter,51,"2010-01-31 00:00:00",2,1,0,0,3.98,0,0,0,0,0,0,0,0,0,0,1
0j8KEkNIBs3MVVJxE5he3A,Erykah,57,"2012-06-12 00:00:00",24,7,1,0,3.85,1,0,0,0,0,0,2,1,1,0,0
0jLyXYnYYw11QYaz8nv_mQ,Jackie,283,"2013-10-10 00:00:00",1,0,1,9,4.08,0,1,0,0,0,3,1,1,1,5,1
0j_OA1mIDDlhNm3lnZDDOQ,Amy,204,"2011-02-17 00:00:00",30,7,6,16,4.06,20,5,1,1,0,13,8,31,31,15,1
0KueQxXgax9GlbZ0UNaGlg,Jolie,405,"2013-06-04 00:00:00",114,24,27,21,3.8,6,2,0,0,0,3,9,9,9,3,0
0KZNZKVCTpURutG_qbMKzg,Alejandro,46,"2015-11-16 00:00:00",0,0,0,4,3.94,2,1,0,0,0,3,0,2,2,3,0
0lCYr2gf5EPIFwlepq4h_w,Angelita,31,"2009-07-21 00:00:00",4,1,0,1,3.78,0,2,0,0,0,2,0,1,1,1,0
0LHF8ssgtB59NMC6piGJ_Q,Alan,298,"2012-03-11 00:00:00",18,29,4,12,3.34,4,2,0,0,0,4,5,10,10,5,1
0lhLKVwmPZXbR2o25DDImQ,"J. Eric",33,"2010-02-11 00:00:00",3,2,3,3,3.85,0,0,0,0,0,1,2,1,1,0,0
0LpZKuNrMIMUCPyWGFDufQ,Steven,48,"2009-07-07 00:00:00",2,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0
0m27-mxjtEtWXQup_9QofA,C.,159,"2008-06-06 00:00:00",13,2,1,1,3.81,0,1,0,0,0,0,1,0,0,0,0
0mgy6emSgVZZC0j6ltKuvA,Tim,184,"2009-07-14 00:00:00",0,10,0,8,3.11,0,4,1,0,0,4,4,5,5,5,0
0mNc6wrs3DeuoOsV2d5IHA,Nicole,302,"2009-07-19 00:00:00",71,16,15,55,3.59,41,5,9,9,4,26,50,104,104,30,29
0nP7RnaaThFgphKUXtaZTw,F.,127,"2015-03-28 00:00:00",2,0,0,0,3.78,0,0,0,0,0,1,0,0,0,0,0
0oD7hL4ie7_cwB9gWn8AVA,Tony,374,"2010-12-23 00:00:00",22,23,23,43,3.48,4,2,6,0,1,1,5,17,17,12,0
0oFTMDlozZeYtyOgSbeNUA,Homer,89,"2009-08-11 00:00:00",1,0,1,2,4.02,3,0,0,0,0,1,2,0,0,0,0
0QkkJtEArAcqV2RCfvCN4Q,James,29,"2011-01-11 00:00:00",0,0,0,1,3.67,0,0,0,0,0,0,1,0,0,0,0
0rEGb1hmK_Br4UGOfOBHpg,Allie,35,"2011-03-06 00:00:00",0,0,0,1,3.75,2,1,0,0,0,1,0,0,0,2,0
0rHbZl0zwGreOyB-gHOa2A,Summer,32,"2011-04-08 00:00:00",1,0,1,1,3.83,0,0,0,0,0,0,0,0,0,0,0
0RS9T_2NPdt2NniR08CL8Q,R,53,"2012-12-07 00:00:00",266,0,0,2,3.77,1,0,0,0,0,1,2,0,0,0,0
0rwOFbHlAJt1a8Muvy_jmQ,Emma,327,"2011-07-30 00:00:00",801,163,814,18,3.63,30,7,2,0,0,20,59,62,62,29,7
0T20I31oZAT1Kwl0R1j2iQ,Elizabeth,78,"2015-02-09 00:00:00",70,14,10,5,4.32,2,0,0,0,0,2,7,6,6,0,7
0TBK4KcAg6Nnskqi32EYYw,Sabrina,293,"2014-12-28 00:00:00",160,71,15,25,3.83,4,1,1,0,1,4,3,2,2,2,2
0tf14Cq5NU3PBINpEDXZdQ,Sara,276,"2008-08-03 00:00:00",76,81,37,13,3.85,5,4,0,3,0,12,14,10,10,9,0
0TJ01iwzVLXtr_EYcfqoWQ,Offer,218,"2014-04-15 00:00:00",308,95,117,15,3.85,6,1,0,0,0,5,16,14,14,5,9
0u31FRUZUfIkBSY6Ukqq1w,ouar,38,"2008-05-04 00:00:00",0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
0uFOd4G3bATeyp5AsDBvzw,Amy,312,"2006-08-08 00:00:00",16,8,0,12,3.77,3,4,2,0,0,4,12,6,6,5,0
0Vge_Xan4BvjsUUzFsaPxw,"P. Anne",52,"2013-01-04 00:00:00",7,0,2,0,2.76,0,0,0,0,0,3,0,0,0,2,0
0vXEsuzxnHFiHR9lmoC2vw,Elda,146,"2010-04-30 00:00:00",131,38,49,0,4.3,0,0,1,0,0,1,2,1,1,1,0
0w9Ive5mN49pChNZHVGqmg,Mega,34,"2010-05-13 00:00:00",23,6,1,3,4.2,0,0,0,0,0,2,3,0,0,1,0
0wf8jAdiMelXNDUgTimhDw,B.,185,"2012-03-08 00:00:00",54,1,6,0,3.4,0,0,0,0,0,2,0,0,0,0,0
0x35rBtXKza_MG9mPyYsYQ,Sandy,76,"2011-08-14 00:00:00",1,0,0,3,3.6,0,0,0,0,0,0,1,10,10,0,0
0XQUGlil2YwXx4jGSx8hXA,Edwin,236,"2008-09-06 00:00:00",219,55,56,18,4.18,2,5,0,0,0,9,30,15,15,8,2
0xTgPOAnc9Uuw7A6pCS1mg,Mark,28,"2011-02-12 00:00:00",0,0,0,0,3.86,0,0,0,0,0,3,0,0,0,0,0
0XTNLVKxvFbYna7FiJtfHA,James,164,"2015-12-18 00:00:00",34,3,14,3,3.93,0,0,1,0,0,3,3,4,4,2,0
0xZucjnNt2beD1veIAWLwA,Rob,242,"2009-12-17 00:00:00",12,3,1,13,4.06,3,3,1,0,0,7,7,4,4,6,0
0y8ORuC2X1i1UF6SG1hlkQ,Justin,166,"2010-06-30 00:00:00",483,452,436,26,4.31,116,8,3,6,6,34,224,159,159,42,27
0YBJMg4H0SGqYZbZTxnSOg,Jessica,63,"2010-11-17 00:00:00",1,0,0,1,3.11,1,0,0,0,0,2,3,0,0,1,0
0yf29aXmy5VUFxJQf_358Q,David,42,"2009-01-29 00:00:00",2,2,0,0,3.52,0,0,0,0,0,3,0,0,0,0,0
0ygWZ_gXF8qTm0bY95JJqA,Cris,532,"2009-08-22 00:00:00",3823,176,1637,19,2.67,2,5,0,0,0,25,14,11,11,4,2
0yI2d2_dxzDCap6HVMHqjw,Bowie,194,"2010-12-27 00:00:00",52,9,14,35,3.75,17,1,0,2,2,48,14,25,25,12,7
0zE-WqDXOdGpXnlUsbGjkg,Randy,44,"2012-02-21 00:00:00",4,0,1,0,4.19,0,0,0,0,0,2,0,0,0,0,0
0ZrfHMZ4EaXP9zR6AFd7CA,Aaron,63,"2012-06-15 00:00:00",127,50,85,6,3.83,4,0,0,0,0,4,8,4,4,1,0
0_7UeN4U_D6Iw6tHm90tXg,Aye,27,"2012-05-06 00:00:00",14,5,3,0,2.97,0,0,0,0,0,0,0,0,0,0,0
1-2Oed3A3J2lzLnRp12FWw,Yannie,539,"2008-11-05 00:00:00",264,184,138,92,3.45,137,32,26,21,0,52,92,137,137,68,29
